,idnum,uniq_id,pais,year,wave,nationality,estratopri,strata,upm,prov1t,ur1new,q1tb,q2,wt,weight1500,core_a_core_b,a4,covid2at,idio2,idio2cov,fs2,fs2covidn,covid11n,it1,jc13,jc13covid,jc15a,jccov1,jccov2,vic1ext,aoj11,countfair1,countfair2,countfair3,countfair4,wvsi2,wvsi3,chm1bn,chm2bn,cses6n,b0t,b2,b3,b4,b6,b32,b47a,dst1bn,pr3dnr,pr3enr,drk1c,drk1n,drr1,drr1a,drr1b,m1,ing4,anestg,pn4,exc6,exc2,exc7new,mil10a,mil10e,ccch1,ccch3,ccch4,ccch6,ccus1,ccus3,ccus4,ccus6,ctaware,ctspecific1,ctdiffuse1,ctdiffuse2,edr,ocup4a,q10newt,q11n,q12c,q12bn,covidedu1_1,covidedu1_2,covidedu1_3,covidedu1_4,covidedu1_5,covidedu2,etid,gi0n,r3,r4,r6,r7,r15,r18n,r18,r16,r27,psc1n,psc1c1,psc1c2_1,psc1c2_2,psc1c2_3,psc1c2_4,psc1c2_5,psc1c2_6,psc1c2_7,psc1c2_8,psc1c2_9,psc1c2_10,psc1c2_11,psc1c2_12,psc1c2_13,psc1c2_14,psc1c2_15,psc1c2_16,psc1c2_17,psc1c2_18,psc1c2_19,psc1c2_77,psc1c3,psc1t1_1,psc1t1_2,psc1t1_3,psc1t1_4,psc1t1_5,psc1t1_6,psc1t1_77,psc1c4,psc1t2_1,psc1t2_2,psc1t2_3,psc1t2_4,psc1t2_5,psc1t2_6,psc1t2_7,psc1t2_8,psc1t2_9,psc1t2_10,psc1t2_11,psc1t2_12,psc1t2_13,psc1t2_14,psc1t2_15,psc1t2_16,psc1t2_17,psc1t2_18,psc1t2_19,psc1t2_77,psc1t3,psc1t4,psc2n,psc2r1,psc2r2_1,psc2r2_2,psc2r2_3,psc2r2_4,psc2r2_5,psc2r2_6,psc2r2_7,psc2r2_8,psc2r2_9,psc2r2_10,psc2r2_11,psc2r2_12,psc2r2_13,psc2r2_14,psc2r2_15,psc2r2_16,psc2r2_17,psc2r2_18,psc2r2_19,psc2r2_99,psc2r2_77,psc2c1,psc2c2_1,psc2c2_2,psc2c2_3,psc2c2_4,psc2c2_5,psc2c2_6,psc2c2_7,psc2c2_8,psc2c2_9,psc2c2_10,psc2c2_11,psc2c2_12,psc2c2_13,psc2c2_14,psc2c2_15,psc2c2_16,psc2c2_17,psc2c2_18,psc2c2_19,psc2c2_77,psc2f1,psc2f2_1,psc2f2_2,psc2f2_3,psc2f2_4,psc2f2_5,psc2f2_6,psc2f2_7,psc2f2_8,psc2f2_9,psc2f2_10,psc2f2_11,psc2f2_12,psc2f2_13,psc2f2_14,psc2f2_15,psc2f2_16,psc2f2_17,psc2f2_18,psc2f2_19,psc2f2_77,psc2f3,psc2f4_1,psc2f4_2,psc2f4_3,psc2f4_77,psc7n,psc8n,psc9n,psc14,psc12n,psc11n,psc11an,psc15,psc16,psc13n_1,psc13n_2,psc13n_3,psc13n_4,psc13n_5,psc13n_7,psc13n_11,psc13n_12,psc13n_13,psc13n_77,conocim,municipio1t,idiomaq,formatq,sexi,srvyrid,fecha,gpt_results,gpt_distance,gpt_num_preg,gpt_distance_norm,gpt_distance_norm_wt
21,175544.0,21170175544.0,17,2021,2021,17,1708.0,1700002021,171556221,1700001.0,1.0,2,34,0.27617496,0.13758302,Core A,27.0,1.0,2.0,,0.0,,2,2.0,1.0,,2.0,,2.0,,,,,3.0,3.0,1.0,,2.0,,4.0,2.0,6.0,6.0,4.0,4.0,2.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,,,3.0,7.0,3.0,2.0,0.0,,,,,,,3.0,2.0,,,,,4.0,,3.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1701007.0,1,6,2,,,"(4.0, 8, 0.5)",4.0,8,0.5,0.13808748126029968
23,81378.0,21170081378.0,17,2021,2021,17,1708.0,1700002021,171294921,1700001.0,3.0,2,61,1.0342202,0.51522094,Core A,71.0,1.0,3.0,2.0,1.0,2.0,2,3.0,,2.0,2.0,,2.0,,,2.0,2.0,,,,1.0,,2.0,2.0,7.0,7.0,1.0,7.0,1.0,1.0,7.0,5.0,1.0,1.0,3.0,2.0,2.0,,,5.0,5.0,4.0,3.0,0.0,,,,3.0,3.0,1.0,3.0,3.0,,,,,3.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,4.0,5.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701012.0,1,6,1,,,"(6.0, 12, 0.5)",6.0,12,0.5,0.5171101093292236
25,223313.0,21170223313.0,17,2021,2021,17,1707.0,1700002021,172215321,1700001.0,1.0,1,47,1.740205,0.8669238,Core A,85.0,3.0,3.0,2.0,1.0,2.0,2,2.0,1.0,,2.0,,1.0,,,3.0,1.0,,,,,,1.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,,,5.0,1.0,4.0,4.0,0.0,,,4.0,4.0,,,,,1.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1701077.0,1,6,2,,,"(12.0, 10, 1.2)",12.0,10,1.2,2.0882460594177243
26,201269.0,21170201269.0,17,2021,2021,17,1709.0,1700002021,171362621,1700002.0,1.0,2,33,0.44383967,0.2211091,Core A,1.0,2.0,3.0,2.0,0.0,,2,3.0,1.0,,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,2020.0,1.0,2.0,5.0,2.0,3.0,0.0,,,2.0,2.0,,,,,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1702001.0,1,6,2,,,"(8.0, 8, 1.0)",8.0,8,1.0,0.4438396692276001
31,264891.0,21170264891.0,17,2021,2021,17,1707.0,1700002021,172581021,1700001.0,1.0,2,59,3.0,1.4945201,Core A,27.0,3.0,3.0,1.0,0.0,,2,1.0,1.0,,2.0,,2.0,,,2.0,2.0,,,,1.0,,2.0,5.0,5.0,6.0,3.0,7.0,7.0,6.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2012.0,3.0,4.0,7.0,2.0,3.0,0.0,,,4.0,,2.0,1.0,4.0,,,,,,3.0,4.0,5.0,4.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701019.0,1,6,1,,,"(7.0, 12, 0.5833333333333334)",7.0,12,0.5833333333333334,1.75
34,37446.0,21170037446.0,17,2021,2021,17,1709.0,1700002021,171190821,1700002.0,1.0,1,40,0.553908,0.2759422,Core A,1.0,2.0,3.0,2.0,0.0,,2,2.0,2.0,,2.0,2.0,,,,,,2.0,3.0,2.0,,,,5.0,5.0,3.0,3.0,4.0,4.0,5.0,6.0,3.0,2.0,3.0,4.0,2.0,2.0,,,5.0,6.0,4.0,4.0,0.0,,,3.0,3.0,,,,,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1702001.0,1,6,2,,,"(5.0, 8, 0.625)",5.0,8,0.625,0.34619249403476715
35,336773.0,21170336773.0,17,2021,2021,17,1708.0,1700002021,171608221,1700001.0,1.0,1,23,0.49868065,0.24842942,Core A,21.0,4.0,3.0,2.0,0.0,,2,4.0,2.0,,2.0,2.0,,,,,,1.0,2.0,2.0,,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,,,4.0,7.0,4.0,4.0,1.0,,,4.0,4.0,,,,,1.0,3.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1701005.0,1,6,1,,,"(6.0, 8, 0.75)",6.0,8,0.75,0.37401048839092255
36,429338.0,21170429338.0,17,2021,2021,17,1703.0,1700002021,172123621,1700004.0,1.0,1,47,0.91494864,0.45580304,Core A,3.0,3.0,2.0,,1.0,2.0,2,3.0,,2.0,1.0,1.0,,,,2.0,2.0,,,,2.0,1.0,,5.0,7.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,,,4.0,7.0,2.0,3.0,0.0,,,4.0,4.0,2.0,2.0,2.0,2.0,,,,,4.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1704077.0,1,6,1,,,"(9.0, 11, 0.8181818181818182)",9.0,11,0.8181818181818182,0.748594343662262
37,127928.0,21170127928.0,17,2021,2021,17,1708.0,1700002021,171049921,1700001.0,1.0,2,43,0.092058316,0.045861002,Core A,1.0,2.0,2.0,,0.0,,2,3.0,,2.0,2.0,,1.0,,,1.0,3.0,,,2.0,,1.0,,3.0,5.0,7.0,6.0,7.0,7.0,5.0,7.0,2.0,1.0,3.0,4.0,1.0,2.0,,,2.0,7.0,1.0,2.0,0.0,,,1.0,2.0,,,,,1.0,2.0,4.0,,1.0,2.0,4.0,5.0,3.0,,,,,,,,,,,,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701077.0,1,6,2,,,"(4.0, 10, 0.4)",4.0,10,0.4,0.036823326349258424
38,392030.0,21170392030.0,17,2021,2021,17,1704.0,1700002021,171510621,1700010.0,1.0,2,62,1.3740941,0.6845371,Core A,71.0,1.0,3.0,1.0,0.0,,1,3.0,2.0,,2.0,,1.0,,,1.0,1.0,,,,2.0,,2.0,3.0,2.0,7.0,6.0,7.0,7.0,1.0,7.0,1.0,1.0,4.0,1.0,,2.0,,,1.0,7.0,1.0,1.0,0.0,,,2.0,,,,,,4.0,,4.0,,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1710017.0,1,6,2,,,"(8.0, 10, 0.8)",8.0,10,0.8,1.0992753028869628
