,idnum,uniq_id,pais,year,wave,nationality,estratopri,strata,upm,prov1t,ur1new,q1tb,q2,wt,weight1500,core_a_core_b,a4,covid2at,idio2,idio2cov,fs2,fs2covidn,covid11n,it1,jc13,jc13covid,jc15a,jccov1,jccov2,vic1ext,aoj11,countfair1,countfair2,countfair3,countfair4,wvsi2,wvsi3,chm1bn,chm2bn,cses6n,b0t,b2,b3,b4,b6,b32,b47a,dst1bn,pr3dnr,pr3enr,drk1c,drk1n,drr1,drr1a,drr1b,m1,ing4,anestg,pn4,exc6,exc2,exc7new,mil10a,mil10e,ccch1,ccch3,ccch4,ccch6,ccus1,ccus3,ccus4,ccus6,ctaware,ctspecific1,ctdiffuse1,ctdiffuse2,edr,ocup4a,q10newt,q11n,q12c,q12bn,covidedu1_1,covidedu1_2,covidedu1_3,covidedu1_4,covidedu1_5,covidedu2,etid,gi0n,r3,r4,r6,r7,r15,r18n,r18,r16,r27,psc1n,psc1c1,psc1c2_1,psc1c2_2,psc1c2_3,psc1c2_4,psc1c2_5,psc1c2_6,psc1c2_7,psc1c2_8,psc1c2_9,psc1c2_10,psc1c2_11,psc1c2_12,psc1c2_13,psc1c2_14,psc1c2_15,psc1c2_16,psc1c2_17,psc1c2_18,psc1c2_19,psc1c2_77,psc1c3,psc1t1_1,psc1t1_2,psc1t1_3,psc1t1_4,psc1t1_5,psc1t1_6,psc1t1_77,psc1c4,psc1t2_1,psc1t2_2,psc1t2_3,psc1t2_4,psc1t2_5,psc1t2_6,psc1t2_7,psc1t2_8,psc1t2_9,psc1t2_10,psc1t2_11,psc1t2_12,psc1t2_13,psc1t2_14,psc1t2_15,psc1t2_16,psc1t2_17,psc1t2_18,psc1t2_19,psc1t2_77,psc1t3,psc1t4,psc2n,psc2r1,psc2r2_1,psc2r2_2,psc2r2_3,psc2r2_4,psc2r2_5,psc2r2_6,psc2r2_7,psc2r2_8,psc2r2_9,psc2r2_10,psc2r2_11,psc2r2_12,psc2r2_13,psc2r2_14,psc2r2_15,psc2r2_16,psc2r2_17,psc2r2_18,psc2r2_19,psc2r2_99,psc2r2_77,psc2c1,psc2c2_1,psc2c2_2,psc2c2_3,psc2c2_4,psc2c2_5,psc2c2_6,psc2c2_7,psc2c2_8,psc2c2_9,psc2c2_10,psc2c2_11,psc2c2_12,psc2c2_13,psc2c2_14,psc2c2_15,psc2c2_16,psc2c2_17,psc2c2_18,psc2c2_19,psc2c2_77,psc2f1,psc2f2_1,psc2f2_2,psc2f2_3,psc2f2_4,psc2f2_5,psc2f2_6,psc2f2_7,psc2f2_8,psc2f2_9,psc2f2_10,psc2f2_11,psc2f2_12,psc2f2_13,psc2f2_14,psc2f2_15,psc2f2_16,psc2f2_17,psc2f2_18,psc2f2_19,psc2f2_77,psc2f3,psc2f4_1,psc2f4_2,psc2f4_3,psc2f4_77,psc7n,psc8n,psc9n,psc14,psc12n,psc11n,psc11an,psc15,psc16,psc13n_1,psc13n_2,psc13n_3,psc13n_4,psc13n_5,psc13n_7,psc13n_11,psc13n_12,psc13n_13,psc13n_77,conocim,municipio1t,idiomaq,formatq,sexi,srvyrid,fecha,gpt_results,gpt_distance,gpt_num_preg,gpt_distance_norm,gpt_distance_norm_wt
429,255944.0,21170255944.0,17,2021,2021,17,1703.0,1700002021,170843121,1700014.0,4.0,2,37,0.7298087,0.36357126,Core A,21.0,4.0,2.0,,0.0,,2,3.0,,1.0,2.0,,2.0,,,,,3.0,1.0,2.0,,1.0,,3.0,5.0,7.0,7.0,6.0,7.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,2.0,,,2.0,6.0,1.0,2.0,0.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1714010.0,1,6,2,9.0,2021-02-26,"(5.0, 10, 0.5)",5.0,10,0.5,0.36490434408187866
430,90926.0,21170090926.0,17,2021,2021,17,1708.0,1700002021,170012721,1700001.0,1.0,1,19,0.82558906,0.41128647,Core A,13.0,3.0,3.0,1.0,0.0,,2,2.0,2.0,,2.0,,2.0,,,1.0,3.0,,,1.0,,2.0,,2.0,5.0,6.0,2.0,1.0,2.0,2.0,6.0,4.0,3.0,2.0,4.0,2.0,2.0,,,5.0,6.0,4.0,2.0,0.0,,,3.0,,1.0,3.0,1.0,3.0,,,,,3.0,2.0,4.0,5.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,9.0,2021-02-01,"(6.0, 11, 0.5454545454545454)",6.0,11,0.5454545454545454,0.450321305881847
431,418444.0,21170418444.0,17,2021,2021,17,1707.0,1700002021,170197821,1700001.0,1.0,2,62,1.8422793,0.9177745,Core A,71.0,1.0,1.0,,0.0,,1,1.0,2.0,,2.0,1.0,,,,1.0,2.0,,,,2.0,2.0,,2.0,1.0,6.0,5.0,6.0,7.0,1.0,6.0,5.0,1.0,4.0,3.0,3.0,1.0,2013.0,2.0,2.0,7.0,2.0,2.0,0.0,,,,3.0,1.0,3.0,4.0,,,,,,2.0,3.0,4.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701019.0,1,6,2,9.0,2021-02-11,"(6.0, 11, 0.5454545454545454)",6.0,11,0.5454545454545454,1.0048796263608064
432,196339.0,21170196339.0,17,2021,2021,17,1702.0,1700002021,170059521,1700008.0,3.0,2,23,2.0931103,1.0427318,Core A,1.0,3.0,2.0,,0.0,,2,4.0,1.0,,2.0,,2.0,,,2.0,1.0,,,1.0,,,2.0,4.0,6.0,7.0,5.0,6.0,5.0,7.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,2.0,5.0,3.0,2.0,0.0,,,,,4.0,,2.0,3.0,,,,,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1708001.0,1,6,2,9.0,2021-02-05,"(12.0, 10, 1.2)",12.0,10,1.2,2.5117323875427244
436,28504.0,21170028504.0,17,2021,2021,17,1702.0,1700002021,173048221,1700008.0,1.0,2,20,2.0931103,1.0427318,Core A,71.0,3.0,1.0,,0.0,,2,3.0,2.0,,2.0,,2.0,,,2.0,2.0,,,,1.0,,2.0,3.0,7.0,5.0,3.0,4.0,5.0,3.0,6.0,4.0,4.0,3.0,3.0,2.0,2.0,,,5.0,7.0,2.0,,0.0,,,,,,,,,,,,,3.0,,4.0,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1708004.0,1,6,2,9.0,2021-04-17,"(2.0, 9, 0.2222222222222222)",2.0,9,0.2222222222222222,0.46513562732272673
437,133009.0,21170133009.0,17,2021,2021,17,1702.0,1700002021,171928121,1700008.0,1.0,1,32,2.9543402,1.4717736,Core A,3.0,3.0,2.0,,0.0,,2,2.0,1.0,,2.0,,2.0,,,2.0,3.0,,,2.0,,,2.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,,,5.0,2.0,4.0,2.0,0.0,,,,2.0,,,,,2.0,2.0,4.0,,2.0,3.0,5.0,4.0,2.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1708004.0,1,6,2,9.0,2021-03-20,"(5.0, 10, 0.5)",5.0,10,0.5,1.4771701097488403
440,211727.0,21170211727.0,17,2021,2021,17,1708.0,1700002021,172802321,1700001.0,1.0,2,67,0.36654475,0.18260284,Core A,70.0,1.0,2.0,,0.0,,2,1.0,,2.0,2.0,,2.0,,,1.0,3.0,,,1.0,,2.0,,3.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,1.0,4.0,2.0,1.0,2.0,,,5.0,7.0,4.0,2.0,0.0,,,3.0,1.0,2.0,2.0,4.0,,,,,,3.0,1.0,5.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,9.0,2021-04-13,"(4.0, 11, 0.36363636363636365)",4.0,11,0.36363636363636365,0.13328900120475076
441,113974.0,21170113974.0,17,2021,2021,17,1708.0,1700002021,172311621,1700001.0,1.0,2,42,0.4572205,0.22777507,Core A,1.0,1.0,2.0,,0.0,,2,2.0,,1.0,2.0,1.0,,,,,,1.0,2.0,2.0,,,2.0,4.0,2.0,7.0,2.0,5.0,5.0,7.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,,,,7.0,3.0,3.0,0.0,,,1.0,,1.0,2.0,3.0,1.0,,,,,2.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701004.0,1,6,2,9.0,2021-03-26,"(9.0, 9, 1.0)",9.0,9,1.0,0.45722049474716187
443,213577.0,21170213577.0,17,2021,2021,17,1708.0,1700002021,172724021,1700001.0,2.0,1,40,0.5706071,0.2842613,Core A,3.0,3.0,1.0,,0.0,,2,2.0,2.0,,2.0,,2.0,,,3.0,2.0,,,1.0,,,,3.0,7.0,2.0,2.0,1.0,6.0,4.0,5.0,,4.0,3.0,2.0,2.0,2.0,,,4.0,6.0,3.0,3.0,0.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,3.0,2.0,5.0,3.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,9.0,2021-04-03,"(7.0, 10, 0.7)",7.0,10,0.7,0.3994249880313873
446,105677.0,21170105677.0,17,2021,2021,17,1703.0,1700002021,172718921,1700007.0,4.0,1,70,3.0,1.4945201,Core A,71.0,1.0,3.0,1.0,0.0,,2,1.0,2.0,,2.0,,,,,,,,1.0,2.0,,2.0,,2.0,5.0,4.0,5.0,7.0,5.0,5.0,6.0,2.0,2.0,3.0,,,2.0,,,3.0,5.0,2.0,2.0,0.0,,,,,,,,,1.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1707007.0,1,6,2,9.0,2021-04-03,"(5.0, 6, 0.8333333333333334)",5.0,6,0.8333333333333334,2.5
448,263763.0,21170263763.0,17,2021,2021,17,1706.0,1700002021,172564121,1700005.0,1.0,1,71,0.5352469,0.26664576,Core A,85.0,2.0,3.0,2.0,0.0,,2,2.0,,1.0,2.0,,2.0,,,,,1.0,2.0,2.0,,,2.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,,,5.0,6.0,4.0,4.0,0.0,,,3.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1705012.0,1,6,2,9.0,2021-03-31,"(6.0, 9, 0.6666666666666666)",6.0,9,0.6666666666666666,0.35683127244313556
450,82508.0,21170082508.0,17,2021,2021,17,1703.0,1700002021,172934221,1700004.0,3.0,1,28,1.3177931,0.65648943,Core A,1.0,1.0,1.0,,1.0,1.0,1,1.0,,,2.0,1.0,,,,,,1.0,2.0,,2.0,1.0,,3.0,5.0,6.0,7.0,7.0,5.0,6.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,2006.0,2.0,1.0,5.0,1.0,2.0,0.0,,,,,3.0,2.0,1.0,1.0,,,,,2.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1704017.0,1,6,2,9.0,2021-04-15,"(7.0, 9, 0.7777777777777778)",7.0,9,0.7777777777777778,1.024950212902493
454,187639.0,21170187639.0,17,2021,2021,17,1708.0,1700002021,173214821,1700001.0,1.0,2,58,0.36654475,0.18260284,Core A,70.0,2.0,3.0,1.0,0.0,,2,2.0,,2.0,2.0,,2.0,,,,,2.0,2.0,2.0,,,,4.0,1.0,4.0,1.0,1.0,,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,,,5.0,7.0,4.0,3.0,0.0,,,3.0,3.0,1.0,2.0,2.0,3.0,,,,,3.0,2.0,3.0,4.0,3.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,9.0,2021-04-21,"(5.0, 10, 0.5)",5.0,10,0.5,0.1832723766565323
456,158253.0,21170158253.0,17,2021,2021,17,1703.0,1700002021,172134921,1700007.0,1.0,2,24,1.9358575,0.96439266,Core A,71.0,1.0,3.0,1.0,0.0,,2,2.0,,2.0,2.0,,2.0,,,1.0,2.0,,,,1.0,1.0,,3.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,,,2.0,5.0,,3.0,0.0,,,,,,,,,,,,,4.0,2.0,,2.0,2.0,,,,,,,,,,,,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1707002.0,1,6,2,9.0,2021-03-24,"(6.0, 10, 0.6)",6.0,10,0.6,1.1615145206451416
458,74958.0,21170074958.0,17,2021,2021,17,1702.0,1700002021,170084421,1700008.0,1.0,1,61,0.5975497,0.29768333,Core A,70.0,1.0,1.0,,0.0,,1,2.0,,2.0,2.0,,1.0,,,2.0,2.0,,,1.0,,,2.0,4.0,2.0,7.0,3.0,2.0,7.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,,,5.0,7.0,3.0,4.0,0.0,,,4.0,3.0,1.0,3.0,3.0,3.0,,,,,1.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1708013.0,1,6,2,9.0,2021-02-06,"(8.0, 11, 0.7272727272727273)",8.0,11,0.7272727272727273,0.4345815831964666
459,115957.0,21170115957.0,17,2021,2021,17,1708.0,1700002021,170232621,1700001.0,1.0,2,53,0.36654475,0.18260284,Core A,71.0,3.0,3.0,1.0,0.0,,2,1.0,1.0,,,,1.0,,,,2.0,,,2.0,,,2.0,4.0,2.0,7.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,,,3.0,4.0,2.0,3.0,0.0,,,,2.0,1.0,1.0,4.0,,,,,,4.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701009.0,1,6,2,9.0,2021-02-11,"(11.0, 9, 1.2222222222222223)",11.0,9,1.2222222222222223,0.4479991429381901
462,188535.0,21170188535.0,17,2021,2021,17,1708.0,1700002021,170198421,1700001.0,2.0,2,46,0.6068319,0.3023075,Core A,27.0,2.0,2.0,,0.0,,2,3.0,2.0,,2.0,,2.0,,,,,3.0,2.0,,1.0,,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,2001.0,1.0,4.0,7.0,3.0,3.0,1.0,,,,4.0,2.0,1.0,,,,,,,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,9.0,2021-02-11,"(6.0, 11, 0.5454545454545454)",6.0,11,0.5454545454545454,0.33099922266873444
464,285866.0,21170285866.0,17,2021,2021,17,1708.0,1700002021,170796821,1700001.0,2.0,1,42,2.2824285,1.1370451,Core A,70.0,4.0,3.0,1.0,1.0,1.0,2,3.0,2.0,,2.0,,2.0,,,,,,2.0,1.0,,1.0,,5.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,2005.0,1.0,3.0,7.0,2.0,3.0,0.0,,,4.0,3.0,1.0,2.0,4.0,,,,,,3.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701011.0,1,6,2,9.0,2021-02-25,"(9.0, 9, 1.0)",9.0,9,1.0,2.282428503036499
465,191514.0,21170191514.0,17,2021,2021,17,1702.0,1700002021,172325521,1700006.0,1.0,1,40,0.9847801,0.4905912,Core A,70.0,4.0,1.0,,0.0,,2,3.0,2.0,,1.0,,,,,,,3.0,3.0,,2.0,1.0,,,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,4.0,2.0,2.0,2.0,2.0,,,2.0,7.0,,1.0,0.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,3.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1706004.0,1,6,2,9.0,2021-03-26,"(8.0, 9, 0.8888888888888888)",8.0,9,0.8888888888888888,0.8753600650363498
467,230495.0,21170230495.0,17,2021,2021,17,1707.0,1700002021,173102321,1700001.0,1.0,1,47,1.740205,0.8669238,Core A,71.0,4.0,2.0,,0.0,,2,2.0,1.0,,1.0,,1.0,,,,,2.0,2.0,,1.0,,,3.0,7.0,7.0,5.0,4.0,7.0,7.0,7.0,1.0,2.0,3.0,3.0,1.0,1.0,2015.0,3.0,2.0,5.0,2.0,1.0,0.0,,,2.0,2.0,1.0,1.0,3.0,2.0,,,,,3.0,,,4.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1701019.0,1,6,2,9.0,2021-04-19,"(9.0, 11, 0.8181818181818182)",9.0,11,0.8181818181818182,1.423804131421176
468,154293.0,21170154293.0,17,2021,2021,17,1702.0,1700002021,171956321,1700021.0,3.0,1,49,0.98927134,0.49282864,Core A,1.0,2.0,3.0,2.0,0.0,,2,2.0,2.0,,2.0,,2.0,,,2.0,1.0,,,1.0,,1.0,,4.0,5.0,7.0,4.0,5.0,4.0,4.0,5.0,1.0,,1.0,3.0,3.0,1.0,2018.0,2.0,3.0,7.0,2.0,2.0,0.0,,,2.0,2.0,1.0,3.0,3.0,2.0,,,,,2.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1721077.0,1,6,2,9.0,2021-03-20,"(9.0, 11, 0.8181818181818182)",9.0,11,0.8181818181818182,0.8094038258899342
469,89791.0,21170089791.0,17,2021,2021,17,1702.0,1700002021,170389021,1700021.0,1.0,2,30,1.3448453,0.6699661,Core A,70.0,1.0,3.0,1.0,1.0,2.0,2,4.0,2.0,,,1.0,,,,2.0,1.0,,,,1.0,,,3.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,,,3.0,2.0,3.0,3.0,0.0,,,,3.0,1.0,2.0,,,,,,,2.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1721011.0,1,6,2,9.0,2021-02-18,"(6.0, 10, 0.6)",6.0,10,0.6,0.8069071769714355
470,111474.0,21170111474.0,17,2021,2021,17,1708.0,1700002021,172864521,1700001.0,4.0,1,29,0.49868065,0.24842942,Core A,60.0,3.0,3.0,1.0,0.0,,1,1.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,3.0,1.0,5.0,2.0,4.0,6.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,,,4.0,6.0,3.0,2.0,0.0,,,,4.0,,,,,4.0,,2.0,3.0,4.0,4.0,4.0,2.0,3.0,,,,,,,,,,,,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701011.0,1,6,2,9.0,2021-04-14,"(7.0, 6, 1.1666666666666667)",7.0,6,1.1666666666666667,0.5817940930525463
473,309818.0,21170309818.0,17,2021,2021,17,1709.0,1700002021,170730121,1700002.0,1.0,1,70,0.55643415,0.27720067,Core A,71.0,1.0,3.0,1.0,0.0,,2,2.0,2.0,,2.0,,2.0,,,,,2.0,2.0,1.0,,2.0,,4.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,,3.0,1.0,1.0,2012.0,3.0,3.0,7.0,3.0,3.0,0.0,,,3.0,3.0,2.0,3.0,4.0,,,,,,2.0,3.0,,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1702001.0,1,6,2,9.0,2021-02-24,"(5.0, 10, 0.5)",5.0,10,0.5,0.278217077255249
